locationid1,ywp_year,Belgium,France,Netherlands,Portugal,SU_external_type__$,SU_external_type__I,SU_external_type__L,SU_external_type__M,SU_external_type__O,SU_external_type__T,SU_external_type__U,SU_external_type__W,SU_external_type__X,SU_external_type__Y,Soviet Union,Spain,US_external_type__$,US_external_type__I,US_external_type__L,US_external_type__M,US_external_type__O,US_external_type__T,US_external_type__U,US_external_type__W,US_external_type__X,US_external_type__Y,United Kingdom,United States,actorID,bc_id,bc_name,bwd_id,bwd_name,conflictID,country1,external_alleged,external_exists,external_type__$,external_type__I,external_type__L,external_type__M,external_type__O,external_type__T,external_type__U,external_type__W,external_type__X,external_type__Y,locationid2,ywp_id,ywp_name
90.0,1981,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1592,139,Guatemala,694,Government of Guatemala - ORPA,36,Guatemala,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,8769,ORPA
90.0,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1593,139,Guatemala,228,Government of Guatemala - URNG,36,Guatemala,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,8771,URNG
90.0,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1593,139,Guatemala,228,Government of Guatemala - URNG,36,Guatemala,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,8773,URNG
90.0,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1593,139,Guatemala,228,Government of Guatemala - URNG,36,Guatemala,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,8775,URNG
90.0,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1593,139,Guatemala,228,Government of Guatemala - URNG,36,Guatemala,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,8777,URNG
90.0,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1593,139,Guatemala,228,Government of Guatemala - URNG,36,Guatemala,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,8779,URNG
90.0,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1593,139,Guatemala,228,Government of Guatemala - URNG,36,Guatemala,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,8781,URNG
90.0,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1593,139,Guatemala,228,Government of Guatemala - URNG,36,Guatemala,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,8783,URNG
90.0,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1593,139,Guatemala,228,Government of Guatemala - URNG,36,Guatemala,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,3370,URNG
90.0,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1593,139,Guatemala,228,Government of Guatemala - URNG,36,Guatemala,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,4083,URNG
90.0,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1593,139,Guatemala,228,Government of Guatemala - URNG,36,Guatemala,,0.0,,,,,,,,,,,,4087,URNG
92.0,1979,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1615,137,El Salvador,510,Government of El Salvador - FPL,120,El Salvador,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,6260,Government of El Salvador
92.0,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1616,137,El Salvador,225,Government of El Salvador - FMLN,120,El Salvador,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,6256,Government of El Salvador
92.0,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1616,137,El Salvador,225,Government of El Salvador - FMLN,120,El Salvador,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,6254,Government of El Salvador
92.0,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1616,137,El Salvador,225,Government of El Salvador - FMLN,120,El Salvador,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,6252,Government of El Salvador
92.0,1983,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1616,137,El Salvador,225,Government of El Salvador - FMLN,120,El Salvador,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,6250,Government of El Salvador
92.0,1984,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1616,137,El Salvador,225,Government of El Salvador - FMLN,120,El Salvador,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,6248,Government of El Salvador
92.0,1985,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1616,137,El Salvador,225,Government of El Salvador - FMLN,120,El Salvador,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,6246,Government of El Salvador
92.0,1986,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1616,137,El Salvador,225,Government of El Salvador - FMLN,120,El Salvador,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,6244,Government of El Salvador
92.0,1987,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1616,137,El Salvador,225,Government of El Salvador - FMLN,120,El Salvador,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,6242,Government of El Salvador
92.0,1988,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1616,137,El Salvador,225,Government of El Salvador - FMLN,120,El Salvador,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,6240,Government of El Salvador
92.0,1989,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1616,137,El Salvador,225,Government of El Salvador - FMLN,120,El Salvador,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,3365,Government of El Salvador
92.0,1990,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1616,137,El Salvador,225,Government of El Salvador - FMLN,120,El Salvador,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,4081,Government of El Salvador
92.0,1991,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1616,137,El Salvador,225,Government of El Salvador - FMLN,120,El Salvador,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,4085,Government of El Salvador
93.0,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1619,142,Nicaragua,567,Government of Nicaragua - FSLN,140,Nicaragua,,0.0,,,,,,,,,,,,9233,Government of Nicaragua
93.0,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1619,142,Nicaragua,567,Government of Nicaragua - FSLN,140,Nicaragua,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,6871,Government of Nicaragua
93.0,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1619,142,Nicaragua,567,Government of Nicaragua - FSLN,140,Nicaragua,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,6873,Government of Nicaragua
93.0,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1620,142,Nicaragua,231,Government of Nicaragua - Contras/FDN,140,Nicaragua,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,6887,Government of Nicaragua
93.0,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1620,142,Nicaragua,231,Government of Nicaragua - Contras/FDN,140,Nicaragua,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,6889,Government of Nicaragua
93.0,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1620,142,Nicaragua,231,Government of Nicaragua - Contras/FDN,140,Nicaragua,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,6891,Government of Nicaragua
93.0,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1620,142,Nicaragua,231,Government of Nicaragua - Contras/FDN,140,Nicaragua,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,6893,Government of Nicaragua
93.0,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1620,142,Nicaragua,231,Government of Nicaragua - Contras/FDN,140,Nicaragua,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,6895,Government of Nicaragua
93.0,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1620,142,Nicaragua,231,Government of Nicaragua - Contras/FDN,140,Nicaragua,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,6897,Government of Nicaragua
93.0,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1620,142,Nicaragua,231,Government of Nicaragua - Contras/FDN,140,Nicaragua,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,6899,Government of Nicaragua
93.0,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1620,142,Nicaragua,231,Government of Nicaragua - Contras/FDN,140,Nicaragua,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,3376,Government of Nicaragua
93.0,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1620,142,Nicaragua,231,Government of Nicaragua - Contras/FDN,140,Nicaragua,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,9158,Government of Nicaragua
95.0,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1622,144,Panama-USA,461,Government of Panama - Military faction (forces of Moisés Giroldi),173,Panama,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5538,Military faction (forces of Moisés Giroldi)
100.0,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1604,148,Colombia,237,Government of Colombia - FARC,92,Colombia,,0.0,,,,,,,,,,,,5994,Government of Colombia
100.0,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1604,148,Colombia,237,Government of Colombia - FARC,92,Colombia,,0.0,,,,,,,,,,,,5966,Government of Colombia
100.0,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1604,148,Colombia,237,Government of Colombia - FARC,92,Colombia,,0.0,,,,,,,,,,,,5970,Government of Colombia
100.0,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1606,148,Colombia,495,Government of Colombia - M-19,92,Colombia,,0.0,,,,,,,,,,,,5958,M-19
100.0,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1606,148,Colombia,495,Government of Colombia - M-19,92,Colombia,,0.0,,,,,,,,,,,,5978,M-19
100.0,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1604,148,Colombia,237,Government of Colombia - FARC,92,Colombia,,0.0,,,,,,,,,,,,5980,Government of Colombia
100.0,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1606,148,Colombia,495,Government of Colombia - M-19,92,Colombia,,0.0,,,,,,,,,,,,5981,M-19
100.0,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1606,148,Colombia,495,Government of Colombia - M-19,92,Colombia,,0.0,,,,,,,,,,,,5985,M-19
100.0,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1606,148,Colombia,495,Government of Colombia - M-19,92,Colombia,,0.0,,,,,,,,,,,,5988,M-19
100.0,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1607,148,Colombia,495,Government of Colombia - M-19,92,Colombia,,0.0,,,,,,,,,,,,8668,M-19
100.0,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1606,148,Colombia,495,Government of Colombia - M-19,92,Colombia,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,8677,M-19
100.0,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1606,148,Colombia,495,Government of Colombia - M-19,92,Colombia,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,8679,M-19
100.0,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1607,148,Colombia,343,Government of Colombia - FARC,92,Colombia,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,8682,Government of Colombia
100.0,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1607,148,Colombia,495,Government of Colombia - M-19,92,Colombia,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,8686,M-19
100.0,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1607,148,Colombia,343,Government of Colombia - FARC,92,Colombia,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,4245,Government of Colombia
100.0,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1607,148,Colombia,343,Government of Colombia - FARC,92,Colombia,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,4274,Government of Colombia
100.0,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1604,148,Colombia,342,Government of Colombia - FARC,92,Colombia,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,4275,Government of Colombia
101.0,1982,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1602,147,Venezuela,778,Government of Venezuela - Bandera Roja,80,Venezuela,,0.0,,,,,,,,,,,,8426,Government of Venezuela
115.0,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1621,291,Suriname,559,Government of Suriname - SLA,162,Suriname,,0.0,,,,,,,,,,,,6768,SLA
135.0,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1611,146,Peru,235,Government of Peru - Sendero Luminoso,95,Peru,,0.0,,,,,,,,,,,,6090,Sendero Luminoso
135.0,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1611,146,Peru,235,Government of Peru - Sendero Luminoso,95,Peru,,0.0,,,,,,,,,,,,6092,Sendero Luminoso
135.0,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1611,146,Peru,235,Government of Peru - Sendero Luminoso,95,Peru,,0.0,,,,,,,,,,,,6094,Sendero Luminoso
135.0,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1611,146,Peru,235,Government of Peru - Sendero Luminoso,95,Peru,,0.0,,,,,,,,,,,,6096,Sendero Luminoso
135.0,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1611,146,Peru,235,Government of Peru - Sendero Luminoso,95,Peru,,0.0,,,,,,,,,,,,6098,Sendero Luminoso
135.0,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1611,146,Peru,235,Government of Peru - Sendero Luminoso,95,Peru,,0.0,,,,,,,,,,,,6100,Sendero Luminoso
135.0,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1611,146,Peru,235,Government of Peru - Sendero Luminoso,95,Peru,,0.0,,,,,,,,,,,,6102,Sendero Luminoso
135.0,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1612,146,Peru,319,Government of Peru - Sendero Luminoso,95,Peru,,0.0,,,,,,,,,,,,3915,Sendero Luminoso
135.0,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1612,146,Peru,319,Government of Peru - Sendero Luminoso,95,Peru,,0.0,,,,,,,,,,,,4219,Sendero Luminoso
135.0,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1612,146,Peru,319,Government of Peru - Sendero Luminoso,95,Peru,,0.0,,,,,,,,,,,,3964,Sendero Luminoso
150.0,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1585,145,Paraguay,474,Government of Paraguay - Military faction (forces of General Rodriguez),22,Paraguay,,0.0,,,,,,,,,,,,5787,Military faction (forces of General Rodriguez)
160.0,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1614,309,Argentina,594,Government of Argentina - Montoneros,50,Argentina,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,7202,Montoneros
160.0,1976,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1614,309,Argentina,594,Government of Argentina - Montoneros,50,Argentina,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,7203,Montoneros
160.0,1977,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1614,309,Argentina,594,Government of Argentina - Montoneros,50,Argentina,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,8488,Montoneros
160.0,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,254,Argentina - United Kingdom,489,Government of Argentina - Government of the United Kingdom,151,Argentina,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,5920,Government of the United Kingdom
200.0,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,131,UK (Northern Ireland),216,Government of United Kingdom - IRA,119,United Kingdom,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6275,IRA
200.0,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,131,UK (Northern Ireland),216,Government of United Kingdom - IRA,119,United Kingdom,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6277,IRA
200.0,1977,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,131,UK (Northern Ireland),216,Government of United Kingdom - IRA,119,United Kingdom,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6279,IRA
200.0,1978,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,131,UK (Northern Ireland),216,Government of United Kingdom - IRA,119,United Kingdom,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6281,IRA
200.0,1979,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,131,UK (Northern Ireland),216,Government of United Kingdom - IRA,119,United Kingdom,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6283,IRA
200.0,1980,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,131,UK (Northern Ireland),216,Government of United Kingdom - IRA,119,United Kingdom,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6285,IRA
200.0,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,131,UK (Northern Ireland),216,Government of United Kingdom - IRA,119,United Kingdom,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6287,IRA
200.0,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,131,UK (Northern Ireland),216,Government of United Kingdom - IRA,119,United Kingdom,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6289,IRA
