external_id,ywp_id,ywp_year,ywp_name,actorID,bc_id,conflictID,bc_name,bwd_id,bwd_name,country1,country2,locationid1,locationid2,external_exists,external_name,external_nameid,external_alleged,external_type_X,external_type_Y,external_type_L,external_type_W,external_type_M,external_type_T,external_type_$,external_type_I,external_type_O,external_type_U,external_type_text,external_type_code
19,8927,1985,Harakat-i Inqilab-i Islami-yi Afghanistan,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,China,710,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
20,8927,1985,Harakat-i Inqilab-i Islami-yi Afghanistan,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,United Kingdom,200,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
21,8938,1980,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,Saudi Arabia,670,0,0,0,0,1,0,0,1,0,0,0,"Weapons, Funding/Economic Support",W$
22,8938,1980,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,United States,2,0,0,0,0,1,1,0,1,0,0,0,"Weapons, Materiel/Logistics, Funding/Economic Support",WM$
23,8938,1980,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,Pakistan,770,0,0,0,0,0,1,1,0,0,0,0,"Materiel/Logistics, Training/Expertise",MT
24,8938,1980,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,Egypt,651,0,0,0,0,1,1,1,0,0,0,0,"Weapons, Materiel/Logistics, Training/Expertise",WMT
25,8938,1980,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,China,710,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
26,8945,1981,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,Saudi Arabia,670,0,0,0,0,1,0,0,1,0,0,0,"Weapons, Funding/Economic Support",W$
27,8945,1981,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,United States,2,0,0,0,0,1,1,0,1,0,0,0,"Weapons, Materiel/Logistics, Funding/Economic Support",WM$
28,8945,1981,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,Pakistan,770,0,0,0,0,0,1,1,0,0,0,0,"Materiel/Logistics, Training/Expertise",MT
29,8945,1981,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,Egypt,651,0,0,0,0,1,1,1,0,0,0,0,"Weapons, Materiel/Logistics, Training/Expertise",WMT
30,8945,1981,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,China,710,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
31,8954,1982,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,Saudi Arabia,670,0,0,0,0,1,0,0,1,0,0,0,"Weapons, Funding/Economic Support",W$
32,8954,1982,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,United States,2,0,0,0,0,1,1,0,1,0,0,0,"Weapons, Materiel/Logistics, Funding/Economic Support",WM$
33,8954,1982,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,Pakistan,770,0,0,0,0,0,1,1,0,0,0,0,"Materiel/Logistics, Training/Expertise",MT
34,8954,1982,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,China,710,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
35,8961,1983,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,Saudi Arabia,670,0,0,0,0,1,0,0,1,0,0,0,"Weapons, Funding/Economic Support",W$
36,8961,1983,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,United States,2,0,0,0,0,1,1,0,1,0,0,0,"Weapons, Materiel/Logistics, Funding/Economic Support",WM$
37,8961,1983,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,Pakistan,770,0,0,0,0,0,1,1,0,0,0,0,"Materiel/Logistics, Training/Expertise",MT
38,8961,1983,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,China,710,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
39,8968,1986,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,Saudi Arabia,670,0,0,0,0,1,0,0,1,0,0,0,"Weapons, Funding/Economic Support",W$
40,8968,1986,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,United States,2,0,0,0,0,1,1,0,1,0,0,0,"Weapons, Materiel/Logistics, Funding/Economic Support",WM$
41,8968,1986,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,Pakistan,770,0,0,0,0,0,1,1,0,0,0,0,"Materiel/Logistics, Training/Expertise",MT
42,8968,1986,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,China,710,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
43,8968,1986,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,United Kingdom,200,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
44,8993,1987,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,Saudi Arabia,670,0,0,0,0,1,0,0,1,0,0,0,"Weapons, Funding/Economic Support",W$
45,8993,1987,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,United States,2,0,0,0,0,1,1,0,1,0,0,0,"Weapons, Materiel/Logistics, Funding/Economic Support",WM$
46,8993,1987,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,Pakistan,770,0,0,0,0,0,1,1,0,0,0,0,"Materiel/Logistics, Training/Expertise",MT
47,8993,1987,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,China,710,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
48,8993,1987,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,United Kingdom,200,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
49,9057,1988,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,Saudi Arabia,670,0,0,0,0,1,0,0,1,0,0,0,"Weapons, Funding/Economic Support",W$
50,9057,1988,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,United States,2,0,0,0,0,1,1,0,1,0,0,0,"Weapons, Materiel/Logistics, Funding/Economic Support",WM$
51,9057,1988,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,Pakistan,770,0,0,0,0,0,1,1,0,0,0,0,"Materiel/Logistics, Training/Expertise",MT
52,9057,1988,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,China,710,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
53,9057,1988,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,United Kingdom,200,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
54,6856,1984,Government of Afghanistan,700,189,137,Afghanistan,737,Government of Afghanistan - Harakat-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Soviet Union,365,0,1,0,0,1,1,1,1,0,0,0,"Troops as secondary warring party, Weapons, Materiel/Logistics, Training/Expertise, Funding/Economic Support",XWMT$
56,6844,1980,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Soviet Union,365,0,1,0,0,1,1,1,1,0,0,0,"Troops as secondary warring party, Weapons, Materiel/Logistics, Training/Expertise, Funding/Economic Support",XWMT$
57,6847,1981,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Soviet Union,365,0,1,0,0,1,1,1,1,0,0,0,"Troops as secondary warring party, Weapons, Materiel/Logistics, Training/Expertise, Funding/Economic Support",XWMT$
58,6850,1982,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Soviet Union,365,0,1,0,0,1,1,1,1,0,0,0,"Troops as secondary warring party, Weapons, Materiel/Logistics, Training/Expertise, Funding/Economic Support",XWMT$
59,6853,1983,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Soviet Union,365,0,1,0,0,1,1,1,1,0,0,0,"Troops as secondary warring party, Weapons, Materiel/Logistics, Training/Expertise, Funding/Economic Support",XWMT$
60,6856,1984,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Soviet Union,365,0,1,0,0,1,1,1,1,0,0,0,"Troops as secondary warring party, Weapons, Materiel/Logistics, Training/Expertise, Funding/Economic Support",XWMT$
61,6859,1985,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Soviet Union,365,0,1,0,0,1,1,1,1,0,0,0,"Troops as secondary warring party, Weapons, Materiel/Logistics, Training/Expertise, Funding/Economic Support",XWMT$
62,6862,1986,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Soviet Union,365,0,1,0,0,1,1,1,1,0,0,0,"Troops as secondary warring party, Weapons, Materiel/Logistics, Training/Expertise, Funding/Economic Support",XWMT$
63,6865,1987,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Soviet Union,365,0,1,0,0,1,1,1,1,0,0,0,"Troops as secondary warring party, Weapons, Materiel/Logistics, Training/Expertise, Funding/Economic Support",XWMT$
64,6868,1988,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Soviet Union,365,0,1,0,0,1,1,1,1,0,0,0,"Troops as secondary warring party, Weapons, Materiel/Logistics, Training/Expertise, Funding/Economic Support",XWMT$
65,4789,1989,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Soviet Union,365,0,1,0,0,1,1,1,0,0,0,0,"Troops as secondary warring party, Weapons, Materiel/Logistics, Training/Expertise",XWMT
66,4816,1990,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Soviet Union,365,0,0,0,0,1,1,1,0,0,0,0,"Weapons, Materiel/Logistics, Training/Expertise",WMT
67,4819,1991,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Soviet Union,365,0,0,0,0,1,1,1,1,0,0,0,"Weapons, Materiel/Logistics, Training/Expertise, Funding/Economic Support",WMT$
69,4807,1993,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Saudi Arabia,670,0,0,0,0,0,1,0,1,0,0,0,"Materiel/Logistics, Funding/Economic Support",M$
70,4807,1993,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Iran,630,0,0,0,0,0,0,0,1,0,0,0,Funding/Economic Support,$
71,4867,1994,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Saudi Arabia,670,0,0,0,0,0,1,0,1,0,0,0,"Materiel/Logistics, Funding/Economic Support",M$
73,4794,1995,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,India,750,0,0,0,0,0,1,1,1,0,0,0,"Materiel/Logistics, Training/Expertise, Funding/Economic Support",MT$
74,8258,2008,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Albania,339,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X
75,8258,2008,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Australia,900,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X
76,8258,2008,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Austria,305,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X
77,8258,2008,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Azerbaijan,373,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X
78,8258,2008,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Belgium,211,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X
79,8258,2008,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Bulgaria,355,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X
80,8258,2008,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Canada,20,0,1,0,0,0,0,1,0,0,0,0,"Troops as secondary warring party, Training/Expertise",XT
81,8258,2008,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Croatia,344,0,1,0,0,0,0,1,0,0,0,0,"Troops as secondary warring party, Training/Expertise",XT
82,8258,2008,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Czech Republic,316,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X
83,8258,2008,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Denmark,390,0,1,0,0,0,0,1,0,0,0,0,"Troops as secondary warring party, Training/Expertise",XT
84,8258,2008,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Estonia,366,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X
85,8258,2008,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Finland,375,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X
86,8258,2008,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,France,220,0,1,0,0,0,0,1,0,0,0,0,"Troops as secondary warring party, Training/Expertise",XT
87,8258,2008,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Georgia,372,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X
88,8258,2008,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Germany,260,0,1,0,0,0,1,1,0,0,0,0,"Troops as secondary warring party, Materiel/Logistics, Training/Expertise",XMT
89,8258,2008,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Greece,350,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X
90,8258,2008,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Hungary,310,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X
91,8258,2008,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Iceland,395,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X
92,8258,2008,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Ireland,205,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X
93,8258,2008,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Italy,325,0,1,0,0,0,1,1,0,0,0,0,"Troops as secondary warring party, Materiel/Logistics, Training/Expertise",XMT
94,8258,2008,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Jordan,663,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X
95,8258,2008,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Latvia,367,0,1,0,0,0,1,1,0,0,0,0,"Troops as secondary warring party, Materiel/Logistics, Training/Expertise",XMT
96,8258,2008,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Lithuania,368,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X
97,8258,2008,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Luxembourg,212,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X
98,8258,2008,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Macedonia,343,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X
99,8258,2008,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Netherlands,210,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X
100,8258,2008,Government of Afghanistan,700,189,137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,New Zealand,920,0,1,0,0,0,1,1,0,0,0,0,"Troops as secondary warring party, Materiel/Logistics, Training/Expertise",XMT
